iter	Passed	Remaining
399	40205	80410
400	40302	80303
401	40398	80193
402	40505	80106
403	40604	80002
404	40701	79895
405	40797	79785
406	40889	79668
407	40976	79541
408	41082	79452
409	41184	79356
410	41303	79290
411	41409	79201
412	41503	79088
413	41595	78970
414	41688	78857
415	41788	78755
416	41893	78662
417	41992	78560
418	42100	78473
419	42192	78358
420	42287	78246
421	42388	78147
422	42499	78066
423	42602	77970
424	42700	77866
425	42811	77784
426	42905	77671
427	42993	77549
428	43092	77446
429	43193	77346
430	43297	77252
431	43405	77164
432	43506	77065
433	43607	76965
434	43712	76873
435	43807	76764
436	43909	76666
437	44008	76562
438	44110	76464
439	44212	76366
440	44307	76257
441	44403	76149
442	44495	76034
443	44599	75939
444	44710	75857
445	44826	75782
446	44932	75690
447	45025	75577
448	45117	75463
449	45210	75351
450	45316	75259
451	45413	75153
452	45513	75052
453	45613	74950
454	45703	74833
455	45800	74727
456	45901	74627
457	46014	74546
458	46117	74451
459	46223	74359
460	46336	74278
461	46439	74183
462	46528	74062
463	46621	73952
464	46721	73850
465	46816	73741
466	46914	73637
467	47017	73540
468	47121	73445
469	47218	73338
470	47321	73242
471	47433	73159
472	47537	73064
473	47636	72962
474	47739	72865
475	47837	72760
476	47930	72649
477	48024	72539
478	48120	72431
479	48239	72359
480	48349	72272
481	48452	72176
482	48544	72063
483	48641	71956
484	48734	71845
485	48827	71733
486	48936	71645
487	49036	71545
488	49136	71444
489	49237	71344
490	49336	71241
491	49442	71148
492	49547	71054
493	49655	70965
494	49755	70863
495	49868	70781
496	49971	70684
497	50061	70569
498	50151	70452
499	50253	70355
500	50360	70263
501	50475	70183
502	50580	70089
503	50679	69986
504	50771	69873
505	50868	69767
506	50971	69671
507	51072	69570
508	51170	69467
509	51271	69367
510	51375	69271
511	51467	69159
512	51562	69051
513	51681	68975
514	51786	68880
515	51891	68786
516	51991	68685
517	52086	68576
518	52176	68463
519	52275	68360
520	52388	68275
521	52493	68181
522	52598	68086
523	52705	67993
524	52817	67908
525	52916	67806
526	53012	67699
527	53116	67602
528	53217	67502
529	53314	67397
530	53420	67303
531	53509	67188
532	53603	67079
533	53700	66975
534	53809	66884
535	53919	66795
536	54031	66709
537	54131	66607
538	54231	66506
539	54326	66399
540	54421	66291
541	54523	66192
542	54625	66093
543	54736	66005
544	54847	65917
545	54941	65809
546	55037	65703
547	55150	65617
548	55249	65514
549	55352	65416
550	55460	65325
551	55561	65224
552	55652	65112
553	55749	65007
554	55841	64896
555	55951	64806
556	56053	64708
557	56157	64611
558	56273	64528
559	56370	64423
560	56471	64323
561	56567	64217
562	56671	64120
563	56771	64019
564	56871	63917
565	56975	63820
566	57066	63709
567	57159	63599
568	57259	63498
569	57379	63419
570	57499	63340
571	57608	63248
572	57708	63146
573	57803	63040
574	57904	62939
575	57995	62828
576	58101	62733
577	58196	62626
578	58296	62524
579	58402	62430
580	58528	62356
581	58624	62250
582	58730	62156
583	58835	62058
584	58936	61958
585	59032	61853
586	59129	61748
587	59222	61640
588	59317	61533
589	59423	61438
590	59529	61342
591	59654	61266
592	59764	61174
593	59853	61062
594	59947	60954
595	60060	60866
596	60169	60774
597	60266	60669
598	60368	60570
599	60472	60472
600	60573	60371
601	60664	60261
602	60775	60170
603	60891	60084
604	61001	59992
605	61101	59891
606	61195	59783
607	61296	59683
608	61386	59572
609	61490	59474
610	61597	59379
611	61701	59281
612	61806	59185
613	61907	59084
614	62015	58990
615	62104	58878
616	62204	58776
617	62305	58675
618	62403	58572
619	62525	58491
620	62628	58392
621	62724	58287
622	62820	58181
623	62917	58077
624	63026	57984
625	63134	57890
626	63241	57795
627	63330	57682
628	63427	57578
629	63523	57473
630	63620	57369
631	63722	57269
632	63828	57173
633	63927	57070
634	64021	56964
635	64118	56860
636	64218	56758
637	64325	56662
638	64425	56561
639	64529	56463
640	64636	56367
641	64735	56265
642	64832	56161
643	64928	56056
644	65032	55958
645	65133	55857
646	65233	55756
647	65348	55667
648	65448	55565
649	65548	55463
650	65647	55361
651	65753	55265
652	65855	55165
653	65956	55064
654	66071	54975
655	66161	54865
656	66260	54762
657	66351	54654
658	66457	54557
659	66580	54474
660	66696	54386
661	66797	54285
662	66893	54180
663	66988	54075
664	67080	53966
665	67184	53868
666	67289	53771
667	67389	53669
668	67489	53568
669	67588	53465
670	67696	53369
671	67794	53266
672	67903	53172
673	67999	53067
674	68102	52968
675	68202	52867
676	68293	52758
677	68387	52652
678	68484	52548
679	68590	52451
680	68687	52347
681	68797	52254
682	68905	52158
683	68997	52050
684	69090	51943
685	69182	51836
686	69277	51730
687	69374	51627
688	69482	51531
689	69586	51433
690	69680	51327
691	69776	51222
692	69880	51124
693	69998	51036
694	70098	50935
695	70213	50844
696	70316	50744
697	70409	50638
698	70504	50533
699	70612	50437
700	70718	50340
701	70820	50239
702	70920	50138
703	71022	50038
704	71132	49943
705	71228	49839
706	71336	49743
707	71435	49641
708	71546	49547
709	71650	49448
710	71744	49343
711	71836	49236
712	71929	49129
713	72024	49025
714	72133	48929
715	72253	48841
716	72355	48741
717	72455	48640
718	72559	48540
719	72657	48438
720	72773	48347
721	72878	48249
722	72987	48153
723	73089	48053
724	73182	47947
725	73280	47844
726	73387	47747
727	73491	47648
728	73596	47549
729	73700	47450
730	73804	47351
731	73903	47249
732	73994	47142
733	74099	47044
734	74200	46942
735	74306	46845
736	74412	46747
737	74527	46655
738	74628	46554
739	74720	46447
740	74821	46346
741	74923	46246
742	75026	46146
743	75132	46048
744	75229	45945
745	75324	45840
746	75420	45737
747	75523	45637
748	75642	45547
749	75752	45451
750	75852	45350
751	75948	45245
752	76042	45140
753	76136	45035
754	76233	44932
755	76333	44830
756	76433	44729
757	76547	44635
758	76650	44536
759	76754	44436
760	76876	44348
761	76974	44244
762	77075	44143
763	77177	44043
764	77273	43939
765	77364	43833
766	77457	43727
767	77548	43620
768	77654	43523
769	77753	43420
770	77868	43327
771	77982	43233
772	78074	43127
773	78167	43022
774	78266	42920
775	78367	42819
776	78469	42718
777	78571	42618
778	78671	42517
779	78764	42411
780	78859	42307
781	78954	42203
782	79074	42112
783	79172	42009
784	79274	41909
785	79377	41809
786	79475	41706
787	79573	41604
788	79694	41513
789	79802	41416
790	79904	41316
791	80001	41212
792	80093	41107
793	80203	41010
794	80305	40910
795	80411	40812
796	80514	40711
797	80618	40612
798	80724	40514
799	80820	40410
800	80913	40305
801	81011	40202
802	81114	40102
803	81225	40006
804	81344	39914
805	81443	39812
806	81538	39708
807	81641	39608
808	81737	39504
809	81837	39403
810	81944	39305
811	82049	39205
812	82152	39105
813	82250	39003
814	82353	38903
815	82473	38810
816	82581	38713
817	82689	38615
818	82791	38514
819	82887	38411
820	82981	38306
821	83077	38203
822	83171	38099
823	83272	37998
824	83379	37899
825	83491	37803
826	83605	37708
827	83708	37608
828	83812	37508
829	83913	37407
830	84014	37306
831	84116	37205
832	84231	37110
833	84338	37012
834	84437	36909
835	84532	36806
836	84639	36707
837	84758	36613
838	84861	36513
839	84966	36414
840	85064	36311
841	85156	36206
842	85257	36105
843	85357	36003
844	85457	35902
845	85560	35801
846	85654	35697
847	85750	35594
848	85858	35496
849	85960	35395
850	86066	35296
851	86176	35198
852	86278	35097
853	86381	34997
854	86477	34894
855	86584	34795
856	86692	34697
857	86797	34597
858	86902	34498
859	87016	34401
860	87109	34297
861	87202	34193
862	87298	34090
863	87401	33989
864	87506	33889
865	87610	33789
866	87723	33693
867	87822	33591
868	87917	33487
869	88023	33388
870	88143	33294
871	88242	33192
872	88343	33090
873	88437	32987
874	88534	32884
875	88625	32779
876	88730	32679
877	88833	32578
878	88935	32478
879	89037	32377
880	89145	32278
881	89257	32181
882	89354	32078
883	89463	31980
884	89570	31880
885	89676	31781
886	89784	31682
887	89881	31580
888	89990	31481
889	90088	31379
890	90184	31276
891	90292	31177
892	90409	31081
893	90513	30981
894	90607	30877
895	90707	30775
896	90804	30672
897	90903	30570
898	91009	30471
899	91111	30370
900	91205	30266
901	91296	30162
902	91393	30059
903	91513	29964
904	91616	29863
905	91718	29762
906	91818	29661
907	91919	29559
908	92018	29458
909	92120	29356
910	92213	29253
911	92311	29151
912	92417	29051
913	92521	28951
914	92632	28852
915	92734	28751
916	92824	28646
917	92920	28544
918	93022	28443
919	93124	28342
920	93225	28240
921	93334	28142
922	93427	28038
923	93517	27933
924	93615	27831
925	93733	27735
926	93847	27638
927	93951	27537
928	94047	27434
929	94149	27333
930	94242	27230
931	94336	27126
932	94438	27025
933	94535	26923
934	94639	26822
935	94753	26725
936	94866	26627
937	94976	26528
938	95082	26428
939	95180	26326
940	95280	26224
941	95379	26122
942	95471	26019
943	95561	25914
944	95657	25812
945	95761	25711
946	95862	25610
947	95970	25511
948	96085	25413
949	96195	25314
950	96290	25211
951	96392	25110
952	96509	25013
953	96613	24913
954	96723	24813
955	96825	24712
956	96919	24609
957	97016	24507
958	97121	24406
959	97232	24308
960	97326	24205
961	97435	24105
962	97541	24005
963	97638	23903
964	97738	23801
965	97837	23699
966	97939	23598
967	98050	23499
968	98150	23398
969	98252	23296
970	98362	23197
971	98456	23094
972	98551	22991
973	98652	22890
974	98758	22790
975	98864	22690
976	98974	22590
977	99074	22489
978	99167	22386
979	99268	22284
980	99375	22184
981	99491	22086
982	99593	21985
983	99691	21883
984	99793	21782
985	99883	21678
986	99977	21575
987	100083	21475
988	100186	21374
989	100288	21273
990	100391	21172
991	100490	21070
992	100596	20970
993	100708	20871
994	100818	20771
995	100917	20669
996	101017	20568
997	101113	20465
998	101212	20364
999	101305	20261
1000	101405	20159
1001	101510	20058
1002	101618	19958
1003	101739	19861
1004	101843	19760
1005	101935	19657
1006	102033	19555
1007	102140	19455
1008	102252	19355
1009	102366	19257
1010	102469	19156
1011	102563	19053
1012	102651	18949
1013	102753	18848
1014	102875	18750
1015	102981	18650
1016	103085	18549
1017	103191	18448
1018	103283	18345
1019	103380	18243
1020	103475	18141
1021	103577	18039
1022	103683	17939
1023	103792	17839
1024	103891	17737
1025	104004	17638
1026	104101	17536
1027	104202	17434
1028	104299	17332
1029	104400	17231
1030	104507	17130
1031	104606	17028
1032	104698	16926
1033	104801	16824
1034	104896	16722
1035	104999	16621
1036	105119	16523
1037	105241	16425
1038	105331	16321
1039	105422	16218
1040	105518	16116
1041	105618	16015
1042	105720	15913
1043	105837	15814
1044	105936	15712
1045	106043	15612
1046	106144	15511
1047	106248	15410
1048	106366	15311
1049	106475	15210
1050	106582	15110
1051	106682	15008
1052	106773	14905
1053	106867	14803
1054	106968	14701
1055	107078	14601
1056	107181	14500
1057	107288	14399
1058	107403	14300
1059	107506	14198
1060	107600	14096
1061	107703	13995
1062	107809	13894
1063	107921	13794
1064	108029	13693
1065	108124	13591
1066	108223	13489
1067	108318	13387
1068	108417	13286
1069	108529	13185
1070	108654	13087
1071	108758	12986
1072	108858	12884
1073	108952	12782
1074	109044	12679
1075	109155	12579
1076	109257	12477
1077	109371	12377
1078	109468	12275
1079	109566	12174
1080	109673	12073
1081	109781	11972
1082	109884	11871
1083	109993	11770
1084	110108	11670
1085	110204	11568
1086	110296	11465
1087	110388	11363
1088	110491	11262
1089	110594	11160
1090	110693	11059
1091	110819	10960
1092	110923	10858
1093	111017	10756
1094	111112	10654
1095	111218	10553
1096	111321	10452
1097	111427	10351
1098	111527	10249
1099	111637	10148
1100	111737	10047
1101	111832	9945
1102	111944	9844
1103	112060	9744
1104	112174	9643
1105	112267	9541
1106	112363	9439
1107	112459	9337
1108	112555	9235
1109	112658	9134
1110	112760	9033
1111	112875	8932
1112	112976	8831
1113	113083	8729
1114	113197	8629
1115	113306	8528
1116	113412	8427
1117	113517	8325
1118	113617	8224
1119	113711	8122
1120	113805	8020
1121	113906	7918
1122	114003	7816
1123	114102	7715
1124	114218	7614
1125	114339	7514
1126	114433	7412
1127	114528	7310
1128	114626	7208
1129	114729	7107
1130	114848	7006
1131	114955	6905
1132	115050	6803
1133	115148	6701
1134	115241	6599
1135	115342	6498
1136	115460	6397
1137	115566	6296
1138	115673	6194
1139	115773	6093
1140	115867	5991
1141	115964	5889
1142	116067	5788
1143	116174	5686
1144	116275	5585
1145	116383	5484
1146	116486	5382
1147	116600	5281
1148	116700	5179
1149	116795	5078
1150	116905	4976
1151	117003	4875
1152	117107	4773
1153	117213	4672
1154	117307	4570
1155	117404	4468
1156	117514	4367
1157	117622	4266
1158	117735	4164
1159	117838	4063
1160	117939	3961
1161	118033	3859
1162	118128	3758
1163	118223	3656
1164	118325	3554
1165	118432	3453
1166	118534	3351
1167	118635	3250
1168	118727	3148
1169	118840	3047
1170	118956	2945
1171	119063	2844
1172	119166	2742
1173	119263	2641
1174	119365	2539
1175	119466	2438
1176	119558	2336
1177	119664	2234
1178	119766	2133
1179	119871	2031
1180	119988	1930
1181	120094	1828
1182	120197	1727
1183	120305	1625
1184	120413	1524
1185	120515	1422
1186	120616	1320
1187	120713	1219
1188	120802	1117
1189	120897	1015
1190	121007	914
1191	121118	812
1192	121236	711
1193	121337	609
1194	121440	508
1195	121533	406
1196	121633	304
1197	121742	203
1198	121849	101
1199	121954	0
